종목코드,종목명,업종,현재가,PER,PBR,ROE(%),PEG,배당률(%),시가총액(억),1개월_수익률(%),3개월_수익률(%),5개월_수익률(%)
005930,삼성전자,기타,275000.0,41.9,4.3,10.26,4.08,0.0,160772.66,7.0,-19.0,22.49
000660,SK하이닉스,기타,1879000.0,31.87,10.94,34.33,0.93,0.0,137259.52,11.98,-29.7,45.43
005935,삼성전자우,기타,210500.0,0.0,0.0,0.0,0.0,0.0,16889.91,8.23,-4.54,31.48
402340,SK스퀘어,기타,1133000.0,17.05,5.41,31.73,0.54,0.0,14946.99,6.89,-34.13,43.6
009150,삼성전기,기타,1432000.0,157.38,11.34,7.21,21.83,0.0,10696.14,5.14,-28.15,80.35
373220,LG에너지솔루션,기타,355500.0,-77.54,4.12,0.0,0.0,0.0,8318.7,1.72,7.24,-23.38
005380,현대차,기타,361500.0,10.23,0.82,8.02,1.28,0.0,7401.99,-14.13,-24.77,-31.01
207940,삼성바이오로직스,기타,1403000.0,52.8,8.71,16.5,3.2,0.0,6494.62,-11.48,4.47,-7.02
105560,KB금융,기타,177900.0,11.77,1.08,9.18,1.28,0.0,6309.89,6.91,19.16,13.02
028260,삼성물산,기타,368500.0,26.01,1.21,4.65,5.59,0.0,5975.88,0.41,-25.48,18.11
032830,삼성생명,기타,293500.0,25.49,0.84,3.3,7.72,0.0,5870.0,2.98,-32.14,17.4
012450,한화에어로스페이스,기타,1074000.0,37.59,5.71,15.19,2.47,0.0,5537.91,-2.54,6.23,-26.13
034020,두산에너빌리티,기타,86500.0,655.3,7.12,1.09,601.19,0.0,5540.85,7.19,6.66,-32.89
055550,신한지주,기타,113200.0,11.22,0.93,8.29,1.35,0.0,5314.18,6.29,23.58,13.54
329180,HD현대중공업,기타,452000.0,28.79,5.08,17.65,1.63,0.0,4744.25,-2.69,-19.86,-32.84
000270,기아,기타,120400.0,6.3,0.76,12.06,0.52,0.0,4700.57,-10.75,-11.01,-21.1
006400,삼성SDI,기타,536000.0,-64.38,1.97,0.0,0.0,0.0,4319.38,3.28,17.8,-15.59
068270,셀트리온,기타,181700.0,42.87,2.43,5.67,7.56,0.0,4226.65,-4.17,9.52,-6.55
034730,SK,기타,578000.0,26.44,1.26,4.77,5.54,0.0,4190.66,3.96,-29.08,40.29
086790,하나금융지주,기타,135700.0,9.62,0.82,8.52,1.13,0.0,3677.06,3.75,23.7,9.44
012330,현대모비스,기타,374500.0,9.44,0.68,7.2,1.31,0.0,3363.78,-24.8,-23.02,-13.41
066570,LG전자,기타,203000.0,38.15,1.53,4.01,9.51,0.0,3306.56,1.25,3.62,56.15
010120,LS ELECTRIC,기타,211000.0,110.41,15.16,13.73,8.04,0.0,3165.0,7.98,3.94,-17.42
035420,NAVER,기타,198400.0,16.03,1.08,6.74,2.38,0.0,3017.55,-10.02,1.02,-7.72
000810,삼성화재,기타,654000.0,16.07,1.31,8.15,1.97,0.0,2919.94,0.93,2.83,41.87
298040,효성중공업,기타,2918000.0,52.34,11.55,22.07,2.37,0.0,2720.9,5.92,-5.96,-25.96
316140,우리금융지주,기타,36450.0,8.64,0.74,8.56,1.01,0.0,2685.59,11.81,28.57,9.79
267260,HD현대일렉트릭,기타,722000.0,35.52,12.81,36.06,0.99,0.0,2602.6,0.42,-18.23,-44.72
005490,POSCO홀딩스,기타,319500.0,39.52,0.43,1.09,36.26,0.0,2531.77,-3.77,4.75,-23.47
042660,한화오션,기타,82500.0,20.29,4.1,20.21,1.0,0.0,2527.91,-4.73,-15.82,-38.2
009540,HD한국조선해양,기타,338500.0,11.05,1.8,16.29,0.68,0.0,2395.67,-6.62,-2.03,-29.33
096770,SK이노베이션,기타,140200.0,-6.66,1.08,0.0,0.0,0.0,2370.12,12.16,56.65,7.52
010130,고려아연,기타,1136000.0,29.5,2.15,7.29,4.05,0.0,2371.17,-20.39,7.58,-30.82
000150,두산,기타,1445000.0,407.5,16.53,4.06,100.37,0.0,2340.01,31.24,0.21,-8.66
042700,한미반도체,기타,239000.0,107.03,32.84,30.68,3.49,0.0,2277.96,9.89,-7.18,-36.01
138040,메리츠금융지주,기타,129700.0,10.21,2.11,20.67,0.49,0.0,2170.49,7.37,28.93,13.08
011200,HMM,기타,21050.0,10.77,0.75,6.96,1.55,0.0,1985.52,-7.06,14.96,0.48
015760,한국전력,기타,30950.0,2.33,0.41,17.6,0.13,0.0,1986.88,-5.35,-16.58,-32.5
017670,SK텔레콤,기타,87400.0,45.98,1.45,3.15,14.6,0.0,1877.27,-11.63,-3.53,-10.82
051910,LG화학,기타,261500.0,-11.25,0.62,0.0,0.0,0.0,1845.99,-0.57,-3.51,-31.09
010140,삼성중공업,기타,20750.0,33.47,4.27,12.76,2.62,0.0,1826.0,1.47,-9.78,-37.97
033780,KT&G,기타,173600.0,19.35,1.94,10.03,1.93,0.0,1802.15,-1.03,3.7,-2.36
196170,알테오젠,기타,256000.0,126.36,40.3,31.89,3.96,0.0,1783.17,-16.2,-3.14,-12.22
018260,삼성에스디에스,기타,225000.0,22.92,1.76,7.68,2.98,0.0,1741.0,-0.88,18.48,32.51
006800,미래에셋증권,기타,32000.0,14.86,1.41,9.49,1.57,0.0,1737.67,-10.61,-20.5,-53.42
010950,S-Oil,기타,153900.0,101.38,2.02,1.99,50.94,0.0,1732.65,10.01,65.13,33.36
003550,LG,기타,112100.0,24.22,0.6,2.48,9.77,0.0,1694.86,-0.44,13.69,17.38
267250,HD현대,기타,211000.0,17.31,1.47,8.49,2.04,0.0,1666.75,-2.09,9.5,-25.83
079550,LIG디펜스앤에어로스페이스,기타,733000.0,63.65,11.2,17.6,3.62,0.0,1612.6,2.09,-0.27,-22.84
024110,기업은행,기타,20150.0,5.93,0.44,7.42,0.8,0.0,1606.81,-0.49,2.49,-9.23
003670,포스코퓨처엠,기타,179400.0,464.77,3.92,0.84,553.3,0.0,1595.7,6.91,11.71,-28.1
086280,현대글로비스,기타,204000.0,8.82,1.48,16.78,0.53,0.0,1530.0,-4.45,13.08,-11.11
035720,카카오,기타,33400.0,30.09,1.3,4.32,6.97,0.0,1479.62,-7.35,0.75,-31.06
272210,한화시스템,기타,77200.0,60.22,2.98,4.95,12.17,0.0,1458.46,6.19,4.89,-38.78
000720,현대건설,기타,126300.0,38.04,1.72,4.52,8.42,0.0,1406.42,4.12,22.27,-26.31
278470,에이피알,기타,366500.0,47.57,30.77,64.68,0.74,0.0,1372.11,-16.8,0.96,-18.37
030200,KT,기타,53300.0,7.76,0.73,9.41,0.82,0.0,1343.28,0.57,2.11,-12.77
064350,현대로템,기타,120500.0,17.08,4.27,25.0,0.68,0.0,1315.16,-9.81,-29.03,-47.84
047810,한국항공우주,기타,130000.0,68.17,6.92,10.15,6.72,0.0,1267.18,-0.69,-8.19,-24.29
